type	name	current_hits	commit_count	bucket
cvar	demo_capture_codec	1	1	cat1_extractor_miss_candidate
cvar	demo_capture_mp3	1	1	cat1_extractor_miss_candidate
cvar	demo_capture_mp3_kbps	1	1	cat1_extractor_miss_candidate
cvar	demo_capture_quiet	0	1	cat2_removed_stale
cvar	demo_capture_vid_maxlen	1	0	cat1_stable_string
cvar	floodprotmsg	4	2	cat1_extractor_miss_candidate
cvar	gl_custom_grenade_color	1	1	cat1_extractor_miss_candidate
cvar	gl_custom_grenade_fullbright	1	1	cat1_extractor_miss_candidate
cvar	gl_custom_lg_color	1	3	cat1_extractor_miss_candidate
cvar	gl_custom_lg_fullbright	1	1	cat1_extractor_miss_candidate
cvar	gl_custom_lgpack_color	1	2	cat1_extractor_miss_candidate
cvar	gl_custom_rlpack_color	1	2	cat1_extractor_miss_candidate
cvar	gl_custom_rocket_color	1	1	cat1_extractor_miss_candidate
cvar	gl_custom_rocket_fullbright	1	1	cat1_extractor_miss_candidate
cvar	gl_custom_spike_color	1	1	cat1_extractor_miss_candidate
cvar	gl_custom_spike_fullbright	1	1	cat1_extractor_miss_candidate
cvar	gl_motion_blur	0	3	cat2_removed_stale
cvar	gl_motion_blur_dead	0	2	cat2_removed_stale
cvar	gl_motion_blur_fps	0	3	cat2_removed_stale
cvar	gl_motion_blur_hurt	0	2	cat2_removed_stale
cvar	gl_motion_blur_norm	0	2	cat2_removed_stale
cvar	gl_particle_fasttrails	0	2	cat2_removed_stale
cvar	gl_powerupshells_size	0	5	cat2_removed_stale
cvar	help_files_dircolor	0	4	cat2_removed_stale
cvar	help_files_filecolor	0	2	cat2_removed_stale
cvar	help_files_interline	0	2	cat2_removed_stale
cvar	help_files_scrollnames	0	4	cat2_removed_stale
cvar	help_files_selectedcolor	0	2	cat2_removed_stale
cvar	help_files_showdate	0	2	cat2_removed_stale
cvar	help_files_showsize	0	2	cat2_removed_stale
cvar	help_files_showstatus	0	2	cat2_removed_stale
cvar	help_files_showtime	0	2	cat2_removed_stale
cvar	help_files_sortmode	0	2	cat2_removed_stale
cvar	help_files_stripnames	0	2	cat2_removed_stale
cvar	hud_fps_decimals	0	3	cat2_removed_stale
