type	name	current_hits	commit_count	mech_bucket	sem_class	sem_hit
cvar	in_m_smooth	1	5	cat1_extractor_miss_candidate	STRING_LITERAL	src/menu_options.c:318
cvar	m_rate	1	5	cat1_extractor_miss_candidate	STRING_LITERAL	src/menu_options.c:318
cvar	scr_weaponstats_frame_color	1	2	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/host.c:569
cvar	scr_weaponstats_order	1	2	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/host.c:568
cvar	scr_weaponstats_scale	1	2	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/host.c:570
cvar	scr_weaponstats_x	1	2	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/host.c:572
cvar	scr_weaponstats_y	1	2	cat1_extractor_miss_candidate	REG_CMD_LEGACY	src/host.c:571
cvar	sv_highchars	4	3	cat1_extractor_miss_candidate	REG_CVAR_DECL	src/sv_main.c:136
cvar	userdir	6	16	cat1_extractor_miss_candidate	REG_CMD_CALL	src/cl_cmd.c:953
cvar	vid_mode	1	27	cat1_extractor_miss_candidate	STRING_LITERAL	src/cl_demo.c:3308
macro	mp3_volume	1	9	cat1_extractor_miss_candidate	REG_MACRO	src/macro_ids.h:54
macro	mp3info	1	9	cat1_extractor_miss_candidate	REG_MACRO	src/macro_ids.h:53
